Período;Região;Entidade;Localização Geográfica;Nº Consultas Médicas Presenciais (QT);Nº de Consultas Médicas Não Presenciais ou Inespecíficas (Qt);Nº de Consultas Médicas ao Domicílio (Qt)
2015-02;Lisboa e Vale do Tejo;Área dos CSP da ULS Estuário do Tejo;38.9528113,-8.9911154;38585;7018;224
2015-02;Lisboa e Vale do Tejo;ACES Loures / Odivelas;38.8012718,-9.1137868;50295;11434;380
2015-02;Norte;ACES Grande Porto III - Maia / Valongo;41.2333945,-8.6187474;36669;17118;500
2015-02;Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;30782;11459;267
2015-02;Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;16544;5191;217
2015-02;Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;25096;11488;402
2015-02;Região não Especificada;Desconhecido | Nacional;;4;;
2015-02;Região não Especificada;Desconhecido | Nacional;;393;142;
2015-03;Alentejo;Área dos CSP da ULS Litoral Alentejano;38.3841359,-8.5132031;15873;6514;122
2015-03;Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;29017;8524;134
2015-03;Centro;Área dos CSP da ULS Região de Aveiro;40.6405055,-8.6537539;80815;28471;512
2015-03;Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;13916;5216;35
2015-03;Centro;Área dos CSP da ULS Cova da Beira;40.2677741,-7.4995083;15837;5704;23
2015-03;Centro;Área dos CSP da ULS Viseu Dão-Lafões;40.6565861,-7.9124712;55135;17079;604
2015-03;Lisboa e Vale do Tejo;ACES Lisboa Norte;38.7396924,-9.168506;35775;7854;461
2015-03;Lisboa e Vale do Tejo;ACES Oeste Sul;39.0917759,-9.2600341;33727;8404;240
2015-03;Norte;Área dos CSP da ULS Alto Minho;41.7056054,-8.8252713;56988;22620;792
2015-03;Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;21491;10402;237
2015-03;Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;27799;12044;427
2015-03;Norte;Área dos CSP da ULS Matosinhos;41.1918541,-8.6590693;34633;16192;480
2015-03;Região não Especificada;Desconhecido | Nacional;;401;188;
2015-04;Alentejo;Área dos CSP da ULS Litoral Alentejano;38.3841359,-8.5132031;14777;6261;114
2015-04;Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;26766;8399;104
2015-04;Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;22683;14565;211
2015-04;Centro;Área dos CSP da ULS Região de Aveiro;40.6405055,-8.6537539;72848;27507;482
2015-04;Centro;Área dos CSP da ULS Cova da Beira;40.2677741,-7.4995083;14988;5527;29
2015-04;Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;11713;4621;14
2015-04;Lisboa e Vale do Tejo;Área dos CSP da ULS Arco Ribeirinho;38.6672076,-9.0543329;37093;9496;222
2015-04;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;26032;9182;173
2015-04;Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;25831;11876;326
2015-04;Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;33334;11140;275
2015-04;Norte;ACES Ave / Famalicão;41.3835805,-8.4157518;22503;8508;226
2015-04;Norte;ACES Grande Porto III - Maia / Valongo;41.2333945,-8.6187474;37338;18196;452
2015-04;Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;30202;13771;371
2015-04;Região não Especificada;Desconhecido | Nacional;;9;;
2015-05;Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;5395;2767;5
2015-05;Lisboa e Vale do Tejo;ACES Amadora;38.7573081,-9.23429;23975;5266;103
2015-05;Lisboa e Vale do Tejo;ACES Oeste Norte;39.410844,-9.1396215;33482;12016;225
2015-05;Lisboa e Vale do Tejo;ACES Sintra;38.7519209,-9.2753636;47955;11492;301
