Período;Região;Entidade;Localização Geográfica;Nº Consultas Médicas Presenciais (QT);Nº de Consultas Médicas Não Presenciais ou Inespecíficas (Qt);Nº de Consultas Médicas ao Domicílio (Qt)
2016-11;Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;22757;10126;314
2016-11;Norte;ACES Grande Porto VIII - Espinho / Gaia;41.0022421,-8.642018;35458;19592;432
2016-11;Norte;ACES Cávado II - Gerês / Cabreira;41.6298661,-8.3596897;19622;13181;444
2016-11;Região não Especificada;Desconhecido | Nacional;;285;141;
2016-12;Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;9433;4213;72
2016-12;Centro;ACES Pinhal Litoral;39.7495331,-8.807683;39031;15784;185
2016-12;Centro;Área dos CSP da ULS Guarda;40.5353285,-7.2724426;19257;8613;141
2016-12;Centro;ACES Baixo Mondego;40.2150023,-8.4071805;55260;32558;346
2016-12;Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;19838;13352;127
2016-12;Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;4181;2949;4
2016-12;Lisboa e Vale do Tejo;ACES Médio Tejo;39.478072,-8.5404429;40618;13021;313
2016-12;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;25626;5790;152
2016-12;Lisboa e Vale do Tejo;Área dos CSP da ULS Arco Ribeirinho;38.6672076,-9.0543329;30280;9224;184
2016-12;Lisboa e Vale do Tejo;ACES Sintra;38.7519209,-9.2753636;44919;12000;229
2016-12;Lisboa e Vale do Tejo;ACES Oeste Sul;39.0917759,-9.2600341;28331;8900;188
2016-12;Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;12855;5770;152
2016-12;Norte;Área dos CSP da ULS Nordeste;41.8069684,-6.7587977;18489;7720;288
2016-12;Norte;ACES Grande Porto III - Maia / Valongo;41.2333945,-8.6187474;33094;18791;336
2016-12;Norte;Área dos CSP da ULS Barcelos / Esposende;41.5317419,-8.6178922;28172;13145;293
2016-12;Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;18176;8963;321
2016-12;Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;29217;16483;403
2016-12;Região não Especificada;Desconhecido | Nacional;;619;;
2017-01;Alentejo;Área dos CSP da ULS Litoral Alentejano;38.3841359,-8.5132031;17874;7465;182
2017-01;Alentejo;Área dos CSP da ULS Alentejo Central;38.8442031,-7.5826619;39302;20938;455
2017-01;Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;25430;8891;121
2017-01;Lisboa e Vale do Tejo;ACES Lisboa Norte;38.7396924,-9.168506;38058;8475;536
2017-01;Lisboa e Vale do Tejo;Área dos CSP da ULS Estuário do Tejo;38.9528113,-8.9911154;44804;7850;196
2017-01;Norte;Área dos CSP da ULS Matosinhos;41.1918541,-8.6590693;35043;18503;511
2017-01;Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;34614;17665;385
2017-01;Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;40118;17587;523
2017-01;Norte;Área dos CSP da ULS Nordeste;41.8069684,-6.7587977;26672;9530;464
2017-01;Norte;Área dos CSP da ULS Barcelos / Esposende;41.5317419,-8.6178922;37418;15783;452
2017-01;Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;35639;19311;547
2017-01;Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;27781;15376;410
2017-02;Centro;Área dos CSP da ULS Guarda;40.5353285,-7.2724426;22668;8718;172
2017-02;Lisboa e Vale do Tejo;ACES Lisboa Norte;38.7396924,-9.168506;32733;7167;403
2017-02;Lisboa e Vale do Tejo;ACES Médio Tejo;39.478072,-8.5404429;42926;11763;307
2017-02;Lisboa e Vale do Tejo;Área dos CSP da ULS Lezíria;39.2371689,-8.6908895;33497;13521;278
2017-02;Lisboa e Vale do Tejo;Área dos CSP da ULS Almada / Seixal;38.6678522,-9.1875777;55260;18611;520
2017-02;Lisboa e Vale do Tejo;ACES Amadora;38.7573081,-9.23429;24767;5429;143
2017-02;Lisboa e Vale do Tejo;ACES Sintra;38.7519209,-9.2753636;46838;11214;275
2017-02;Norte;Área dos CSP da ULS Nordeste;41.8069684,-6.7587977;23306;7429;418
2017-02;Norte;ACES Grande Porto I - Santo Tirso / Trofa;41.3469246,-8.4822648;19340;10928;277
2017-02;Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;28125;13411;365
2017-02;Norte;ACES Grande Porto III - Maia / Valongo;41.2333945,-8.6187474;36386;18462;432
2017-02;Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;28800;13986;294
2017-02;Norte;ACES Grande Porto VIII - Espinho / Gaia;41.0022421,-8.642018;31527;15981;358
2017-02;Norte;ACES Ave / Famalicão;41.3835805,-8.4157518;21282;8584;225
2017-02;Região não Especificada;Desconhecido | Nacional;;683;;
2017-03;Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;11834;4796;118
2017-03;Lisboa e Vale do Tejo;ACES Lisboa Norte;38.7396924,-9.168506;39010;9198;453
2017-03;Lisboa e Vale do Tejo;ACES Oeste Norte;39.410844,-9.1396215;37843;14178;261
2017-03;Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;35189;16935;363
2017-03;Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;31789;14339;438
2017-03;Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;63194;24378;579
2017-03;Norte;Área dos CSP da ULS Matosinhos;41.1918541,-8.6590693;35245;18352;418
2017-03;Norte;ACES Grande Porto III - Maia / Valongo;41.2333945,-8.6187474;43605;22784;462
2017-03;Região não Especificada;Desconhecido | Nacional;;388;122;
2017-03;Região não Especificada;Desconhecido | Nacional;;2;;
2017-04;Alentejo;Área dos CSP da ULS Litoral Alentejano;38.3841359,-8.5132031;14323;5759;99
2017-04;Alentejo;Área dos CSP da ULS Baixo Alentejo;38.0153039,-7.8627308;22904;11862;280
2017-04;Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;20012;7260;67
2017-04;Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;19601;13166;165
2017-04;Lisboa e Vale do Tejo;Área dos CSP da ULS Almada / Seixal;38.6678522,-9.1875777;49267;17836;404
2017-04;Lisboa e Vale do Tejo;ACES Oeste Norte;39.410844,-9.1396215;28844;11639;194
2017-04;Lisboa e Vale do Tejo;Área dos CSP da ULS Lezíria;39.2371689,-8.6908895;29812;13566;205
2017-04;Lisboa e Vale do Tejo;ACES Oeste Sul;39.0917759,-9.2600341;26628;8466;175
2017-04;Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;27979;11307;303
2017-04;Norte;ACES Cávado II - Gerês / Cabreira;41.6298661,-8.3596897;15636;10294;249
2017-04;Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;27358;12083;416
2017-04;Região não Especificada;Desconhecido | Nacional;;789;;
2017-05;Alentejo;Área dos CSP da ULS Alentejo Central;38.8442031,-7.5826619;36533;21267;340
2017-05;Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;25157;8731;99
2017-05;Lisboa e Vale do Tejo;Área dos CSP da ULS Lezíria;39.2371689,-8.6908895;34056;16588;206
2017-05;Lisboa e Vale do Tejo;Área dos CSP da ULS Almada / Seixal;38.6678522,-9.1875777;58006;21468;457
2017-05;Norte;Área dos CSP da ULS Nordeste;41.8069684,-6.7587977;24763;9046;352
2017-05;Norte;Área dos CSP da ULS Barcelos / Esposende;41.5317419,-8.6178922;31318;14729;274
2017-05;Norte;ACES Grande Porto I - Santo Tirso / Trofa;41.3469246,-8.4822648;20036;12881;327
2017-05;Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;17069;7134;155
2017-05;Norte;ACES Grande Porto III - Maia / Valongo;41.2333945,-8.6187474;38732;23003;421
2017-05;Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;32560;15991;495
2017-05;Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;22950;9928;239
2017-06;Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;10333;4139;90
2017-06;Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;11438;5138;24
2017-06;Centro;ACES Pinhal Litoral;39.7495331,-8.807683;44636;16464;267
2017-06;Centro;Área dos CSP da ULS Região de Aveiro;40.6405055,-8.6537539;71104;29572;547
2017-06;Lisboa e Vale do Tejo;ACES Oeste Sul;39.0917759,-9.2600341;28010;10156;224
2017-06;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;23967;10537;146
2017-06;Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;29985;13477;456
2017-06;Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;23691;13220;361
2017-06;Norte;Área dos CSP da ULS Póvoa Varzim / Vila Conde;41.355519,-8.746653;23883;13583;413
2017-06;Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;29671;15397;335
2017-06;Norte;Área dos CSP da ULS Nordeste;41.8069684,-6.7587977;22547;8226;356
2017-07;Alentejo;Área dos CSP da ULS Litoral Alentejano;38.3841359,-8.5132031;14214;6193;132
2017-07;Alentejo;Área dos CSP da ULS Alentejo Central;38.8442031,-7.5826619;32094;17427;273
2017-07;Alentejo;Área dos CSP da ULS Alto Alentejo;39.2967086,-7.4284755;21560;11949;211
2017-07;Alentejo;Área dos CSP da ULS Baixo Alentejo;38.0153039,-7.8627308;21080;11686;177
2017-07;Centro;Área dos CSP da ULS Viseu Dão-Lafões;40.6565861,-7.9124712;47555;17967;568
2017-07;Lisboa e Vale do Tejo;Área dos CSP da ULS Almada / Seixal;38.6678522,-9.1875777;51629;20333;328
2017-07;Lisboa e Vale do Tejo;ACES Lisboa Norte;38.7396924,-9.168506;31149;8497;247
2017-07;Lisboa e Vale do Tejo;Área dos CSP da ULS Lezíria;39.2371689,-8.6908895;33147;14642;173
2017-07;Norte;ACES Ave / Famalicão;41.3835805,-8.4157518;21309;9614;208
2017-07;Norte;ACES Grande Porto III - Maia / Valongo;41.2333945,-8.6187474;33613;19656;330
2017-07;Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;33040;15532;259
2017-07;Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;27442;15145;338
2017-07;Norte;ACES Grande Porto VIII - Espinho / Gaia;41.0022421,-8.642018;30639;17509;253
2017-08;Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;23905;7762;130
2017-08;Centro;ACES Pinhal Litoral;39.7495331,-8.807683;40971;17411;188
2017-08;Lisboa e Vale do Tejo;Área dos CSP da ULS Estuário do Tejo;38.9528113,-8.9911154;31153;7695;118
2017-08;Lisboa e Vale do Tejo;ACES Lisboa Norte;38.7396924,-9.168506;27470;7540;212
2017-08;Lisboa e Vale do Tejo;Área dos CSP da ULS Almada / Seixal;38.6678522,-9.1875777;47989;19478;350
2017-08;Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;17656;9261;256
2017-08;Norte;Área dos CSP da ULS Matosinhos;41.1918541,-8.6590693;27743;15908;333
2017-08;Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;18754;8307;159
2017-08;Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;16332;10744;209
2017-08;Norte;Área dos CSP da ULS Póvoa Varzim / Vila Conde;41.355519,-8.746653;23220;14112;268
2017-08;Norte;ACES Grande Porto I - Santo Tirso / Trofa;41.3469246,-8.4822648;18035;11382;202
2017-08;Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;13887;5848;121
2017-08;Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;25235;14946;300
2017-08;Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;33595;16895;323
2017-08;Região não Especificada;Desconhecido | Nacional;;909;127;
2017-09;Alentejo;Área dos CSP da ULS Alto Alentejo;39.2967086,-7.4284755;23623;12849;215
2017-09;Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;9718;4235;52
2017-09;Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;4283;3144;4
2017-09;Centro;ACES Baixo Mondego;40.2150023,-8.4071805;59388;38989;402
2017-09;Lisboa e Vale do Tejo;Área dos CSP da ULS Estuário do Tejo;38.9528113,-8.9911154;33704;7966;156
2017-09;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;24177;11479;177
2017-09;Lisboa e Vale do Tejo;Área dos CSP da ULS Arco Ribeirinho;38.6672076,-9.0543329;30989;10591;148
2017-09;Norte;ACES Ave / Famalicão;41.3835805,-8.4157518;21620;10386;215
2017-09;Norte;Área dos CSP da ULS Matosinhos;41.1918541,-8.6590693;30321;16845;312
2017-09;Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;14267;6445;142
2017-09;Norte;Área dos CSP da ULS Nordeste;41.8069684,-6.7587977;22130;8910;232
2017-09;Região não Especificada;Desconhecido | Nacional;;1269;;
2017-10;Alentejo;Área dos CSP da ULS Litoral Alentejano;38.3841359,-8.5132031;16310;7525;95
2017-10;Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;38061;12286;264
2017-10;Lisboa e Vale do Tejo;ACES Oeste Sul;39.0917759,-9.2600341;28475;11100;174
2017-10;Lisboa e Vale do Tejo;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;33388;11097;317
2017-10;Lisboa e Vale do Tejo;ACES Lisboa Central;38.7306317,-9.1510414;38671;12042;266
2017-10;Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;16183;7236;151
2017-10;Norte;Área dos CSP da ULS Barcelos / Esposende;41.5317419,-8.6178922;32313;15283;277
2017-10;Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;22392;9877;230
2017-10;Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;31023;17234;384
2017-10;Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;36560;18704;308
2017-11;Alentejo;Área dos CSP da ULS Alto Alentejo;39.2967086,-7.4284755;26260;13215;252
2017-11;Alentejo;Área dos CSP da ULS Baixo Alentejo;38.0153039,-7.8627308;26076;12479;300
2017-11;Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;22659;16050;170
2017-11;Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;4901;3250;4
2017-11;Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;11353;5301;29
2017-11;Centro;ACES Pinhal Litoral;39.7495331,-8.807683;45656;18600;326
2017-11;Centro;ACES Baixo Mondego;40.2150023,-8.4071805;65481;39759;565
2017-11;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;25520;11898;151
2017-11;Lisboa e Vale do Tejo;ACES Amadora;38.7573081,-9.23429;23742;6930;108
2017-11;Lisboa e Vale do Tejo;Área dos CSP da ULS Lezíria;39.2371689,-8.6908895;34659;15585;180
2017-11;Lisboa e Vale do Tejo;ACES Oeste Norte;39.410844,-9.1396215;32944;14321;228
2017-11;Lisboa e Vale do Tejo;ACES Sintra;38.7519209,-9.2753636;51645;13059;267
2017-11;Lisboa e Vale do Tejo;Área dos CSP da ULS Almada / Seixal;38.6678522,-9.1875777;57143;22116;394
2017-11;Norte;ACES Ave / Famalicão;41.3835805,-8.4157518;22803;10790;255
2017-11;Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;16088;6634;205
2017-11;Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;31765;16182;425
2017-11;Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;29073;14587;371
2017-11;Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;21299;10318;263
2017-11;Norte;Área dos CSP da ULS Alto Minho;41.7056054,-8.8252713;53391;26640;727
2017-11;Norte;Área dos CSP da ULS Barcelos / Esposende;41.5317419,-8.6178922;32901;14221;302
2017-11;Norte;ACES Grande Porto VIII - Espinho / Gaia;41.0022421,-8.642018;34337;18794;360
2017-11;Norte;Área dos CSP da ULS Nordeste;41.8069684,-6.7587977;24898;8699;343
2017-12;Alentejo;Área dos CSP da ULS Alentejo Central;38.8442031,-7.5826619;29557;15733;243
2017-12;Centro;Área dos CSP da ULS Cova da Beira;40.2677741,-7.4995083;9322;5045;14
2017-12;Lisboa e Vale do Tejo;Área dos CSP da ULS Estuário do Tejo;38.9528113,-8.9911154;29634;6998;142
2017-12;Lisboa e Vale do Tejo;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;26764;8595;247
2017-12;Lisboa e Vale do Tejo;ACES Amadora;38.7573081,-9.23429;19186;5945;86
2017-12;Lisboa e Vale do Tejo;Área dos CSP da ULS Arco Ribeirinho;38.6672076,-9.0543329;26696;8544;143
2017-12;Lisboa e Vale do Tejo;Área dos CSP da ULS Arrábida;38.5324373,-8.8627453;27100;11836;209
2017-12;Lisboa e Vale do Tejo;Área dos CSP da ULS Lezíria;39.2371689,-8.6908895;27068;12390;139
2017-12;Norte;Área dos CSP da ULS Matosinhos;41.1918541,-8.6590693;25980;14570;319
2017-12;Norte;Área dos CSP da ULS Alto Minho;41.7056054,-8.8252713;42532;22064;569
2017-12;Norte;ACES Grande Porto III - Maia / Valongo;41.2333945,-8.6187474;29582;17289;314
2017-12;Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;21872;11044;268
2018-01;Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;43039;14533;286
2018-01;Centro;Área dos CSP da ULS Cova da Beira;40.2677741,-7.4995083;15228;7964;24
2018-01;Centro;Área dos CSP da ULS Guarda;40.5353285,-7.2724426;27385;11157;137
2018-01;Lisboa e Vale do Tejo;ACES Lisboa Central;38.7306317,-9.1510414;45076;12182;307
2018-01;Lisboa e Vale do Tejo;ACES Sintra;38.7519209,-9.2753636;57195;14241;375
2018-01;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;30866;12509;215
2018-01;Lisboa e Vale do Tejo;ACES Oeste Sul;39.0917759,-9.2600341;36632;12106;232
2018-01;Norte;ACES Grande Porto I - Santo Tirso / Trofa;41.3469246,-8.4822648;22903;13876;356
2018-01;Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;40556;19426;423
2018-01;Norte;Área dos CSP da ULS Alto Minho;41.7056054,-8.8252713;61883;29182;835
2018-01;Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;17031;7143;167
2018-02;Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;23519;7267;132
2018-02;Centro;Área dos CSP da ULS Guarda;40.5353285,-7.2724426;23247;8729;146
2018-02;Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;22966;14316;229
2018-02;Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;4328;3052;10
2018-02;Lisboa e Vale do Tejo;ACES Loures / Odivelas;38.8012718,-9.1137868;53934;14077;331
2018-02;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;26126;10063;203
2018-02;Lisboa e Vale do Tejo;Área dos CSP da ULS Lezíria;39.2371689,-8.6908895;35883;13649;246
2018-02;Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;14939;5148;153
2018-02;Norte;ACES Grande Porto I - Santo Tirso / Trofa;41.3469246,-8.4822648;20216;11141;324
2018-02;Norte;Área dos CSP da ULS Barcelos / Esposende;41.5317419,-8.6178922;31712;12035;325
2018-02;Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;54882;20182;511
2018-02;Região não Especificada;Desconhecido | Nacional;;3;;
2018-03;Centro;ACES Baixo Mondego;40.2150023,-8.4071805;67404;37817;569
2018-03;Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;4946;3264;7
2018-03;Lisboa e Vale do Tejo;Área dos CSP da ULS Arrábida;38.5324373,-8.8627453;35300;12763;247
2018-03;Lisboa e Vale do Tejo;Área dos CSP da ULS Lezíria;39.2371689,-8.6908895;35107;13647;210
2018-03;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;26837;11309;205
2018-03;Lisboa e Vale do Tejo;ACES Oeste Sul;39.0917759,-9.2600341;31940;9623;219
2018-03;Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;31791;14972;333
2018-03;Norte;ACES Grande Porto I - Santo Tirso / Trofa;41.3469246,-8.4822648;20999;11114;305
2018-03;Norte;ACES Grande Porto VIII - Espinho / Gaia;41.0022421,-8.642018;33183;17297;387
2018-03;Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;16353;6271;192
2018-03;Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;23375;8589;298
2018-03;Norte;Área dos CSP da ULS Nordeste;41.8069684,-6.7587977;25261;8076;364
2018-03;Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;19940;10979;281
2018-04;Alentejo;Área dos CSP da ULS Alentejo Central;38.8442031,-7.5826619;33859;17894;307
2018-04;Lisboa e Vale do Tejo;Área dos CSP da ULS Estuário do Tejo;38.9528113,-8.9911154;36057;7645;170
2018-04;Lisboa e Vale do Tejo;ACES Lisboa Norte;38.7396924,-9.168506;32974;8451;308
2018-04;Lisboa e Vale do Tejo;ACES Sintra;38.7519209,-9.2753636;49544;12494;303
2018-04;Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;30181;15587;376
2018-04;Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;29962;13963;418
2018-04;Norte;ACES Ave / Famalicão;41.3835805,-8.4157518;20952;10578;241
2018-04;Norte;Área dos CSP da ULS Matosinhos;41.1918541,-8.6590693;30150;17331;333
2018-05;Alentejo;Área dos CSP da ULS Baixo Alentejo;38.0153039,-7.8627308;25605;12768;346
2018-05;Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;25510;8197;132
2018-05;Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;12295;5610;47
2018-05;Centro;ACES Baixo Mondego;40.2150023,-8.4071805;64153;40559;490
2018-05;Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;4981;3491;10
2018-05;Lisboa e Vale do Tejo;ACES Oeste Sul;39.0917759,-9.2600341;29994;11057;199
2018-05;Lisboa e Vale do Tejo;ACES Lisboa Central;38.7306317,-9.1510414;38741;11550;285
2018-05;Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;31734;16838;362
2018-05;Norte;Área dos CSP da ULS Nordeste;41.8069684,-6.7587977;24377;9310;367
2018-05;Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;57790;22802;545
2018-06;Alentejo;Área dos CSP da ULS Litoral Alentejano;38.3841359,-8.5132031;16100;6023;167
2018-06;Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;11698;5317;52
2018-06;Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;22859;15173;200
2018-06;Lisboa e Vale do Tejo;Área dos CSP da ULS Arrábida;38.5324373,-8.8627453;32848;13327;258
2018-06;Lisboa e Vale do Tejo;Área dos CSP da ULS Arco Ribeirinho;38.6672076,-9.0543329;31777;10030;161
2018-06;Lisboa e Vale do Tejo;ACES Sintra;38.7519209,-9.2753636;48835;12330;288
2018-06;Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;22739;9266;299
2018-06;Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;15428;5489;221
2018-07;Alentejo;Área dos CSP da ULS Alto Alentejo;39.2967086,-7.4284755;23205;13197;221
2018-07;Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;26579;7565;151
2018-07;Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;21977;15547;165
2018-07;Centro;Área dos CSP da ULS Guarda;40.5353285,-7.2724426;21983;9554;117
2018-07;Centro;ACES Pinhal Litoral;39.7495331,-8.807683;44954;17545;324
2018-07;Centro;Área dos CSP da ULS Viseu Dão-Lafões;40.6565861,-7.9124712;52796;19707;516
2018-07;Centro;Área dos CSP da ULS Região de Aveiro;40.6405055,-8.6537539;70646;30657;470
2018-07;Lisboa e Vale do Tejo;ACES Médio Tejo;39.478072,-8.5404429;41873;14836;288
2018-07;Lisboa e Vale do Tejo;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;33649;10791;284
2018-07;Lisboa e Vale do Tejo;Área dos CSP da ULS Arco Ribeirinho;38.6672076,-9.0543329;32579;11163;168
2018-07;Lisboa e Vale do Tejo;ACES Loures / Odivelas;38.8012718,-9.1137868;50065;15889;295
2018-07;Norte;ACES Grande Porto VIII - Espinho / Gaia;41.0022421,-8.642018;32543;18538;320
2018-07;Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;31198;19322;384
2018-07;Norte;ACES Grande Porto I - Santo Tirso / Trofa;41.3469246,-8.4822648;20394;12089;264
2018-08;Alentejo;Área dos CSP da ULS Litoral Alentejano;38.3841359,-8.5132031;15901;7010;135
2018-08;Centro;Área dos CSP da ULS Cova da Beira;40.2677741,-7.4995083;9740;5720;40
2018-08;Lisboa e Vale do Tejo;ACES Lisboa Central;38.7306317,-9.1510414;32121;9735;234
2018-08;Lisboa e Vale do Tejo;ACES Médio Tejo;39.478072,-8.5404429;35157;13136;246
2018-08;Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;17257;10985;208
2018-08;Norte;ACES Grande Porto III - Maia / Valongo;41.2333945,-8.6187474;32367;19778;285
2018-08;Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;13534;5677;149
2018-08;Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;13900;5917;135
2018-08;Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;17157;9225;264
2018-09;Centro;Área dos CSP da ULS Guarda;40.5353285,-7.2724426;21595;9857;118
2018-09;Lisboa e Vale do Tejo;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;28934;9567;292
2018-09;Lisboa e Vale do Tejo;Área dos CSP da ULS Arrábida;38.5324373,-8.8627453;30519;13113;186
2018-09;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;23581;10759;176
2018-09;Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;52004;21468;510
2018-09;Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;29881;13399;278
2018-09;Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;20852;9004;212
2018-09;Norte;Área dos CSP da ULS Matosinhos;41.1918541,-8.6590693;29481;15822;274
2018-09;Norte;Área dos CSP da ULS Nordeste;41.8069684,-6.7587977;21199;8827;269
2018-09;Norte;Área dos CSP da ULS Alto Minho;41.7056054,-8.8252713;46105;24489;487
2018-09;Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;31403;17206;270
2018-09;Norte;Área dos CSP da ULS Barcelos / Esposende;41.5317419,-8.6178922;30197;13305;249
2018-09;Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;22057;13056;244
